Response No.,Tab No.,Survey Date,AC Name,Mandal Name,Village Name
202,35,5/24/2015,Tiruvuru,Vissannapeta,Maremanda
203,400,7/9/2015,Intermediate,Intermediate,Intermediate
206,498,6/10/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
206,487,6/13/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
207,455,5/31/2015,Tiruvuru,Gampalagudem,KOTHAPALLI
207,487,6/15/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
208,358,5/20/2015,Mylavaram,Mylavaram,Pondugala
209,60,5/30/2015,Mylavaram,Ibrahimpatnam,Thummalapalem
210,369,5/28/2015,Mylavaram,Reddygudem,Moddulaparva
212,283,6/11/2015,Mylavaram,Reddygudem,Intermediate
212,316,7/16/2015,Nandigama,Veerullapadu,Alluru
215,190,6/6/2015,Mylavaram,G. Konduru,Kuntamukkala
217,158,5/26/2015,Nandigama,Veerullapadu,Thati Gummi
219,481,6/14/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
221,143,6/23/2015,Nandigama,Chanderlapadu,Eturu
221,456,6/8/2015,Tiruvuru,Gampalagudem,KONIJARAL
223,380,6/23/2015,Mylavaram,Mylavaram,Chandragudem
224,333,6/25/2015,Tiruvuru,Tiruvuru,Intermediate
224,74,6/29/2015,Intermediate,Intermediate,Intermediate
225,494,5/27/2015,Jaggaiahpeta,Penuganchiprolu,Totacharla
226,37,5/30/2015,Nandigama,Veerullapadu,Chatnavaram
226,98,6/3/2015,Intermediate,Intermediate,Intermediate
226,358,6/25/2015,Intermediate,Intermediate,Intermediate
230,244,6/13/2015,Jaggaiahpeta,Jaggaiahpeta,K.Agraharam
231,254,5/27/2015,Nandigama,Chanderlapadu,Intermediate
231,425,6/15/2015,Tiruvuru,Vissannapeta,Narasapuram
233,481,6/3/2015,Jaggaiahpeta,Penuganchiprolu,Kollikulla
235,476,5/26/2015,Jaggaiahpeta,Penuganchiprolu,Mundlapadu
237,271,5/29/2015,Mylavaram,Reddygudem,K-Naguluru
237,451,6/13/2015,Tiruvuru,Gampalagudem,GULLAPUDI
238,366,5/27/2015,Mylavaram,Reddygudem,Moddulaparva
240,362,5/26/2015,Mylavaram,Mylavaram,Ganapavaram
242,353,6/1/2015,Mylavaram,Mylavaram,k.r.gudem
242,119,7/9/2015,Intermediate,Intermediate,Intermediate
244,174,7/15/2015,Intermediate,Intermediate,Intermediate
245,365,5/25/2015,Mylavaram,Mylavaram,Pondugala
246,444,7/8/2015,Tiruvuru,Gampalagudem,VUTUKURU
247,298,6/6/2015,Nandigama,Nandigama,Aithavaram
248,280,6/24/2015,Mylavaram,Reddygudem,Reddygudem
250,219,7/7/2015,Tiruvuru,Gampalagudem,GAMPALAGUDEM
253,287,6/16/2015,Mylavaram,Reddygudem,Intermediate
255,35,5/19/2015,Intermediate,Intermediate,Intermediate
256,378,5/20/2015,Mylavaram,Mylavaram,Pondugala
256,266,6/7/2015,Mylavaram,Reddygudem,Reddygudem
258,413,7/11/2015,Tiruvuru,Tiruvuru,Choutapalli
262,180,5/24/2015,Mylavaram,G. Konduru,Gangineni palem
262,500,5/30/2015,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
263,362,6/6/2015,Mylavaram,Mylavaram,Chandrala
267,66,5/25/2015,Mylavaram,Ibrahimpatnam,Mulapadu
267,317,5/30/2015,Jaggaiahpeta,Nadigama,Domaluru
267,172,7/25/2015,Intermediate,Intermediate,Intermediate
269,369,7/3/2015,Tiruvuru,Vissannapeta,Vissannapeta
270,76,6/16/2015,Mylavaram,Ibrahimpatnam,Kotikalapudi
273,441,6/8/2015,Tiruvuru,Gampalagudem,ARLAPADU
273,140,7/19/2015,Jaggaiahpeta,Vatsavai,Vatsavai
274,95,7/18/2015,Jaggaiahpeta,Vatsavai,Vatsavai
275,10,6/27/2015,Nandigama,Kanchikacherla,Gottimukkala
275,365,7/3/2015,Mylavaram,Mylavaram,mylavaram
276,286,5/25/2015,Mylavaram,Reddygudem,Narukullapadu
277,268,5/28/2015,Mylavaram,Reddygudem,Moddulaparva
278,214,6/3/2015,Nandigama,Kanchikacherla,Athukuru
279,214,7/15/2015,Nandigama,Kanchikacherla,Kanchikacherla
280,451,6/8/2015,Tiruvuru,Gampalagudem,ARLAPADU
280,293,6/24/2015,Jaggaiahpeta,Nadigama,Konduru
282,345,6/5/2015,Intermediate,Intermediate,Intermediate
285,84,6/6/2015,Mylavaram,Ibrahimpatnam,Kethanakonda
288,261,5/27/2015,Mylavaram,Reddygudem,Kunaparajparva
288,197,5/27/2015,Mylavaram,G. Konduru,Gangineni palem
288,401,6/29/2015,Tiruvuru,A.Konduru,A. Konduru
290,376,5/21/2015,Mylavaram,Mylavaram,Tholukodu
290,254,7/13/2015,Nandigama,Chanderlapadu,Muppalla
292,459,6/23/2015,Tiruvuru,Gampalagudem,GAMPALAGUDEM
293,332,6/2/2015,Tiruvuru,Tiruvuru,Mallela
293,375,7/8/2015,Mylavaram,Mylavaram,mylavaram
295,360,6/29/2015,Mylavaram,Mylavaram,Intermediate
297,69,6/1/2015,Mylavaram,Ibrahimpatnam,Elaprolu
298,74,6/5/2015,Intermediate,Intermediate,Intermediate
299,370,6/25/2015,Mylavaram,Mylavaram,Chandragudem
301,99,5/29/2015,Mylavaram,Vijayawada (R),paidurpadu
302,487,7/15/2015,Intermediate,Intermediate,Intermediate
303,5,7/18/2015,Nandigama,Chanderlapadu,Chanderlapadu
303,117,7/23/2015,Jaggaiahpeta,Vatsavai,Vatsavai
305,432,7/11/2015,Nandigama,Veerullapadu,Intermediate
308,355,5/21/2015,Mylavaram,Mylavaram,Tholukodu
308,340,6/21/2015,Tiruvuru,Tiruvuru,Kokilampadu
309,159,6/12/2015,Nandigama,Veerullapadu,Vellanki
310,441,5/24/2015,Tiruvuru,Gampalagudem,KANUMURU
311,251,6/19/2015,Nandigama,Chanderlapadu,Eturu
311,298,6/19/2015,Nandigama,Nandigama,Ambarupeta
314,46,6/24/2015,Tiruvuru,Gampalagudem,GAMPALAGUDEM
314,49,6/28/2015,Intermediate,Intermediate,Intermediate
316,127,6/6/2015,Jaggaiahpeta,Vatsavai,Gopinenipalem
317,401,7/3/2015,Tiruvuru,A.Konduru,A. Konduru
318,358,5/29/2015,Intermediate,Intermediate,Intermediate
